/* DATA DESCRIPTION:
Citation:	Erhardt, Tobias; Capron, Emilie; Rasmussen, Sune Olander; Schüpbach, Simon; Bigler, Matthias; Adolphi, Florian; Fischer, Hubertus (2018): NGRIP high resolution calcium, sodium concentrations and layer thickness (over warming events, 10-60ka). PANGAEA, https://doi.org/10.1594/PANGAEA.896740, 
	In supplement to: Erhardt, T et al. (2019): Decadal-scale progression of the onset of Dansgaard–Oeschger warming events. Climate of the Past, 15(2), 811-825, https://doi.org/10.5194/cp-15-811-2019
Related to:	Gkinis, Vasileios; Simonsen, Sebastian B; Buchardt, Susanne L; White, James W C; Vinther, Bo Møllesøe (2014): Water isotope diffusion rates from the NorthGRIP ice core for the last 16,000 years – Glaciological and paleoclimatic implications. Earth and Planetary Science Letters, 405, 132-141, https://doi.org/10.1016/j.epsl.2014.08.022
	North Greenland Ice Core Project Members; Andersen, Katrine K; Azuma, Nobuhiko; Barnola, Jean-Marc; Bigler, Matthias; Biscaye, Pierre Eginton; Caillon, Nicolas; Chappellaz, Jérôme A; Clausen, Henrik Brink; Dahl-Jensen, Dorthe; Fischer, H; Flückiger, Jacqueline; Fritzsche, Diedrich; Fujii, Yushiyuki; Goto-Azuma, Kumiko; Grönvold, Karl; Gundestrup, Niels S; Hansson, Margareta E; Huber, C; Hvidberg, Christine Schøtt; Johnsen, Sigfús Jóhann; Jonsell, Ulf; Jouzel, Jean; Kipfstuhl, Sepp; Landais, Amaelle; Leuenberger, Markus Christian; Lorrain, Reginald D; Masson-Delmotte, Valerie; Miller, H; Motoyama, Hideaki; Narita, H; Popp, Trevor; Rasmussen, Sune Olander; Raynaud, Dominique; Röthlisberger, Regine; Ruth, Urs; Samyn, D; Schwander, Jakob; Shoji, Hitoshi; Siggaard-Andersen, Marie-Louise; Steffensen, J P; Stocker, T; Sveinbjörnsdottir, Árný E; Svensson, Anders M; Takata, Morimasa; Tison, Jean-Louis; Thorsteinsson, Thorsteinn; Watanabe, Okitsugu; Wilhelms, Frank; White, James W C (2004): High-resolution record of Northern Hemisphere climate extending into the last interglacial period. Nature, 431(7005), 147-151, https://doi.org/10.1038/nature02805
	Svensson, Anders M; Andersen, Katrine K; Bigler, Matthias; Clausen, Henrik Brink; Dahl-Jensen, Dorthe; Davies, Siwan M; Johnsen, Sigfús Jóhann; Muscheler, Raimund; Parrenin, Frédéric; Rasmussen, Sune Olander; Röthlisberger, Regine; Seierstad, Inger K; Steffensen, Jørgen Peder; Vinther, Bo Møllesøe (2008): A 60 000 year Greenland stratigraphic ice core chronology. Climate of the Past, 4(1), 47-57, https://doi.org/10.5194/cp-4-47-2008
Coverage:	LATITUDE: 75.100000 * LONGITUDE: -42.320000
	DATE/TIME START: 1996-07-01T00:00:00 * DATE/TIME END: 1996-07-01T00:00:00
	MINIMUM ELEVATION: 2917.0 m * MAXIMUM ELEVATION: 2917.0 m
Event(s):	NGRIP (NorthGRIP) * LATITUDE: 75.100000 * LONGITUDE: -42.320000 * DATE/TIME: 1996-07-01T00:00:00 * ELEVATION: 2917.0 m * LOCATION: Greenland * CAMPAIGN: NGRIP * BASIS: Sampling/drilling ice * METHOD/DEVICE: Ice drill (ICEDRILL)
Parameter(s):	AGE [ka BP] (Age) * GEOCODE * PI: Erhardt, Tobias (https://orcid.org/0000-0002-6683-6746, tobias.erhardt@awi.de) * COMMENT: Age of the middle of the sampling interval in years BP (before 1950) on the GICC05 age scale for NGRIP
	Ageprofile Datum Description (Ageprof dat des) * PI: Erhardt, Tobias (https://orcid.org/0000-0002-6683-6746, tobias.erhardt@awi.de)
	Sodium [ng/g] (Na+) * PI: Erhardt, Tobias (https://orcid.org/0000-0002-6683-6746, tobias.erhardt@awi.de) * METHOD/DEVICE: Continuous Flow Analysis (CFA)
	Calcium [ng/g] (Ca2+) * PI: Erhardt, Tobias (https://orcid.org/0000-0002-6683-6746, tobias.erhardt@awi.de) * METHOD/DEVICE: Continuous Flow Analysis (CFA)
	Layer thickness [m] (Thickness) * PI: Erhardt, Tobias (https://orcid.org/0000-0002-6683-6746, tobias.erhardt@awi.de) * METHOD/DEVICE: Calculated * COMMENT: Calculated from the age model
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	19498 data points
*/
Age [ka BP]	Ageprof dat des	Na+ [ng/g]	Ca2+ [ng/g]	Thickness [m]
11.4035	Holocene		24.5359	0.0488
11.4045	Holocene		21.4656	0.0498
11.4055	Holocene		23.2031	0.0429
11.4065	Holocene		14.8640	0.0705
11.4075	Holocene		32.2991	0.0471
11.4085	Holocene		25.7163	0.0429
11.4095	Holocene		28.1443	0.0401
11.4105	Holocene		21.8928	0.0609
11.4115	Holocene		21.5228	0.0549
11.4125	Holocene		21.1491	0.0344
11.4135	Holocene		12.5887	0.0229
11.4145	Holocene		20.0100	0.0512
11.4155	Holocene		23.2926	0.0509
11.4165	Holocene		12.2618	0.0540
11.4175	Holocene		21.6524	0.0403
11.4185	Holocene		29.0547	0.0507
11.4195	Holocene		24.0275	0.0562
11.4205	Holocene		20.7287	0.0442
11.4215	Holocene		15.8601	0.0438
11.4225	Holocene		13.6457	0.0466
11.4235	Holocene		13.1639	0.0581
11.4245	Holocene		16.5607	0.0572
11.4255	Holocene		18.7308	0.0514
11.4265	Holocene		18.5457	0.0614
11.4275	Holocene		34.1782	0.0401
11.4285	Holocene		13.6507	0.0546
11.4295	Holocene		13.2917	0.0484
11.4305	Holocene		17.2068	0.0560
11.4315	Holocene		17.0985	0.0564
11.4325	Holocene		10.4616	0.0548
11.4335	Holocene		14.7349	0.0551
11.4345	Holocene		18.9966	0.0528
11.4355	Holocene		14.7815	0.0621
11.4365	Holocene		15.1172	0.0567
11.4375	Holocene		20.2591	0.0585
11.4385	Holocene		14.3332	0.0647
11.4395	Holocene		15.8286	0.0779
11.4405	Holocene		14.9077	0.0495
11.4415	Holocene		23.1239	0.0552
11.4425	Holocene		24.0592	0.0511
11.4435	Holocene		27.6136	0.0484
11.4445	Holocene		28.1420	0.0398
11.4455	Holocene		15.7163	0.0552
11.4465	Holocene		15.4941	0.0550
11.4475	Holocene		22.6121	0.0553
11.4485	Holocene		13.9208	0.0520
11.4495	Holocene		34.0502	0.0484
11.4505	Holocene		22.0077	0.0476
11.4515	Holocene		18.2855	0.0637
11.4525	Holocene		15.4956	0.0469
11.4535	Holocene		9.7157	0.0587
11.4545	Holocene		17.3122	0.0373
11.4555	Holocene		21.0224	0.0540
11.4565	Holocene		10.0232	0.0532
11.4575	Holocene		81.4795	0.0652
11.4585	Holocene		83.0788	0.0605
11.4595	Holocene		15.9825	0.0620
11.4605	Holocene		24.3191	0.0550
11.4615	Holocene		10.9589	0.0493
11.4625	Holocene		9.6885	0.0515
11.4635	Holocene		11.1289	0.0360
11.4645	Holocene		2.9763	0.0672
11.4655	Holocene		7.4304	0.0463
11.4665	Holocene		11.8442	0.0662
11.4675	Holocene		12.1371	0.0490
11.4685	Holocene		8.3544	0.0561
11.4695	Holocene		14.4555	0.0589
11.4705	Holocene		33.8685	0.0660
11.4715	Holocene		14.6804	0.0494
11.4725	Holocene		7.5448	0.0735
11.4735	Holocene		10.2166	0.0619
11.4745	Holocene		12.1627	0.0448
11.4755	Holocene		12.0492	0.0373
11.4765	Holocene		10.5243	0.0638
11.4775	Holocene		10.5738	0.0695
11.4785	Holocene		9.6017	0.0493
11.4795	Holocene		15.8012	0.0507
11.4805	Holocene		10.3851	0.0636
11.4815	Holocene		4.9778	0.0397
11.4825	Holocene		5.3437	0.0294
11.4835	Holocene		12.1371	0.0425
11.4845	Holocene		6.4314	0.0481
11.4855	Holocene		7.1709	0.0497
11.4865	Holocene		5.6911	0.0556
11.4875	Holocene		7.7700	0.0594
11.4885	Holocene		9.2277	0.0983
11.4895	Holocene		11.5753	0.0410
11.4905	Holocene		9.0378	0.0650
11.4915	Holocene		12.8497	0.0914
11.4925	Holocene		11.7053	0.0518
11.4935	Holocene		16.8324	0.0550
11.4945	Holocene		9.7898	0.0738
11.4955	Holocene		11.2457	0.0682
11.4965	Holocene		9.5684	0.0690
11.4975	Holocene		11.7803	0.0719
11.4985	Holocene		11.7167	0.0512
11.4995	Holocene		12.6812	0.0591
11.5005	Holocene		14.0099	0.0680
11.5015	Holocene		8.4701	0.0518
11.5025	Holocene		9.8844	0.0258
11.5035	Holocene		4.7743	0.0447
11.5045	Holocene		10.5084	0.0443
11.5055	Holocene		13.8196	0.0387
11.5065	Holocene		9.1804	0.0719
11.5075	Holocene		4.4104	0.0521
11.5085	Holocene		7.0251	0.0699
11.5095	Holocene		11.2269	0.0554
11.5105	Holocene			0.0569
11.5115	Holocene			0.0638
