# Supplementary data file for: Decadal-scale progression of Dansgaard-Oeschger warming events, by Erhardt et al.
#
# Timing of the transitions in all parameters relative to the ages (in yrs BP, years before 1950) of the GS/GI transitions provided by Rasmussen et al. (2014).
# All values are given as the marignal posterior 50th, 5th and 95th percentile in years.
# Note that the CI for the transition points are with respect to the age stated in the Age column but do not include the uncertainty of that age as given by the maximum counting error (MCE).
#
# For details on the data and methods please refer to the main manuscript and supplementary material
#
par,Age,MCE,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Ca,Ca,Ca,Ca,Ca,Ca,Ca,Ca,Ca,Ca,Ca,Ca,lt,lt,lt,lt,lt,lt,lt,lt,lt,lt,lt,lt,d18O,d18O,d18O,d18O,d18O,d18O,d18O,d18O,d18O,d18O,d18O,d18O
point,,,start,start,start,mid,mid,mid,end,end,end,length,length,length,start,start,start,mid,mid,mid,end,end,end,length,length,length,start,start,start,mid,mid,mid,end,end,end,length,length,length,start,start,start,mid,mid,mid,end,end,end,length,length,length
quantile,,,50,5,95,50,5,95,50,5,95,50,5,95,50,5,95,50,5,95,50,5,95,50,5,95,50,5,95,50,5,95,50,5,95,50,5,95,50,5,95,50,5,95,50,5,95,50,5,95
Event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holocene,11653.0,99.0,-14.9,-35.0,1.5,40.0,23.2,51.7,96.5,62.1,114.3,111.5,70.4,139.7,-7.9,-20.1,-1.2,12.2,7.4,16.0,32.2,27.0,40.9,40.2,30.2,58.5,-7.3,-18.8,5.4,10.8,5.7,17.7,28.0,13.3,47.4,35.4,8.8,63.9,-11.5,-50.6,18.0,21.1,0.6,40.7,53.2,25.9,90.1,64.8,21.7,127.2
GI-1e,14642.0,186.0,-6.7,-28.7,15.2,58.4,43.5,72.8,123.9,97.3,149.9,130.4,92.2,169.7,-15.0,-36.6,-4.8,10.9,5.2,16.0,37.0,27.2,57.1,52.1,34.4,91.1,-15.8,-29.5,-6.6,8.8,1.2,17.8,34.0,15.2,58.2,50.1,24.7,84.2,-6.7,-32.3,6.2,20.5,4.6,45.5,49.4,12.6,102.6,57.8,12.9,125.4
GI-2.1,22970.0,583.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GI-2.2,23290.0,596.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GI-3,27730.0,832.0,-16.6,-31.8,-3.5,2.5,-4.9,11.3,20.6,9.0,42.9,37.3,16.5,70.6,-16.4,-21.3,-12.7,-1.7,-4.4,0.9,13.1,7.8,19.5,29.6,21.9,39.3,-21.8,-30.3,-14.4,-9.9,-14.0,-5.5,1.9,-4.5,11.6,23.7,12.4,39.6,-12.0,-36.5,1.0,2.5,-7.4,10.1,16.6,6.2,35.8,28.3,8.6,66.5
GI-4,28850.0,898.0,,,,,,,,,,,,,-10.6,-25.6,-1.5,7.7,2.9,11.9,26.1,20.1,36.7,37.1,23.4,60.2,-49.6,-75.9,-19.9,-4.4,-16.5,7.2,39.2,19.8,58.7,89.7,43.2,129.2,-11.9,-58.7,6.9,9.6,-7.8,24.2,31.6,14.5,70.1,44.9,15.0,116.0
GI-5.1,30790.0,1008.0,,,,,,,,,,,,,-27.0,-59.6,-4.3,27.8,11.0,41.5,82.4,58.1,107.8,108.9,71.8,158.7,,,,,,,,,,,,,,,,,,,,,,,,
GI-5.2,32450.0,1132.0,-31.6,-64.4,-11.8,-5.0,-19.0,6.3,22.5,3.9,46.7,55.2,21.2,104.7,-37.7,-59.7,-24.9,-9.3,-16.9,-3.3,19.6,9.5,33.2,57.4,37.5,89.5,-39.7,-55.2,-25.9,-15.7,-24.0,-8.2,8.6,-8.3,22.0,48.4,22.9,72.8,-24.5,-58.0,-7.8,-5.1,-19.4,7.1,15.3,-1.7,42.7,41.3,13.2,92.3
GI-6,33690.0,1195.0,,,,,,,,,,,,,-81.5,-102.4,-57.0,-23.2,-33.6,-11.7,35.4,21.9,47.4,117.1,85.7,145.3,-5.7,-26.7,10.7,15.2,6.6,22.3,35.9,27.6,48.9,41.9,19.7,72.1,-33.4,-94.0,2.7,0.4,-31.9,25.3,34.8,3.8,74.8,69.5,21.5,149.0
GI-7c,35430.0,1321.0,-21.2,-44.0,-10.9,-4.6,-12.3,5.2,13.0,-3.0,39.2,34.5,10.6,79.8,-26.7,-43.1,-14.0,-5.6,-11.3,0.4,16.3,-2.4,31.8,43.2,12.7,72.2,-90.2,-112.8,-68.0,-37.3,-47.8,-27.2,15.5,-1.4,33.0,105.7,72.5,139.5,-27.6,-57.6,-7.4,-2.7,-18.8,17.2,23.8,-2.7,61.1,52.3,17.0,105.6
GI-8c,38170.0,1449.0,-19.5,-50.3,0.0,22.1,6.4,38.4,68.4,25.4,101.2,88.0,30.9,143.4,-18.4,-40.2,-8.0,0.1,-7.0,5.5,20.0,9.5,33.7,38.9,20.2,71.1,-15.3,-28.6,-2.9,2.7,-2.1,8.1,20.1,9.4,37.1,35.3,14.0,64.0,-8.2,-38.3,4.8,6.8,-3.7,15.9,22.1,10.4,48.1,30.8,10.1,81.5
GI-9,40110.0,1580.0,,,,,,,,,,,,,-30.6,-53.6,-18.5,10.3,-1.0,22.9,53.4,28.7,81.4,85.4,51.9,128.2,-47.3,-80.0,3.1,1.5,-23.1,23.6,43.1,14.4,82.1,88.9,26.4,146.1,-13.9,-38.8,4.0,7.1,-7.8,30.0,27.8,4.6,76.3,41.5,9.9,101.4
GI-10,41410.0,1633.0,-28.2,-51.4,-13.5,0.5,-9.1,10.1,29.6,12.9,51.3,58.0,31.9,97.7,-31.9,-44.9,-23.9,-7.8,-13.6,-2.8,16.7,7.6,26.9,48.4,34.8,68.5,-29.1,-42.8,-18.5,-7.0,-14.6,0.1,16.7,-3.8,30.4,45.7,17.8,69.6,-20.7,-45.2,-3.4,0.7,-12.2,13.1,22.0,4.0,46.3,42.4,16.2,84.5
GI-11,43290.0,1736.0,-55.4,-102.8,-15.0,-9.0,-28.6,6.6,34.4,14.9,67.8,91.5,34.3,161.9,-24.4,-52.1,-13.4,-1.5,-10.6,5.1,22.9,10.1,40.3,47.2,26.8,90.1,-18.3,-36.8,-8.1,-0.8,-6.9,4.0,16.4,9.2,29.9,34.7,19.4,65.2,-51.0,-119.7,-13.4,-12.1,-44.1,9.1,25.6,-1.1,62.8,78.6,20.4,167.6
GI-12c,46810.0,1912.0,-17.6,-37.3,-2.7,14.5,6.5,23.8,47.8,27.5,71.5,65.5,33.0,104.9,-32.4,-46.8,-10.3,-1.9,-8.6,4.6,26.8,13.1,40.6,59.4,24.6,83.7,-23.0,-36.2,-12.9,8.5,1.8,15.1,41.2,25.5,54.2,64.0,41.3,87.2,-24.3,-53.1,5.7,7.2,-6.9,21.0,35.4,21.2,59.8,59.4,21.7,104.4
GI-13c,49230.0,2031.0,-22.8,-85.2,1.7,2.6,-26.4,20.9,29.1,4.9,66.9,52.5,14.8,137.5,-33.8,-63.1,-14.3,-5.9,-19.7,3.6,22.4,5.8,40.1,56.5,23.3,98.2,-69.6,-102.8,-35.7,-28.3,-45.7,-11.0,13.1,-10.6,38.3,81.8,34.7,131.4,-28.6,-64.0,-4.5,1.3,-16.7,20.1,32.3,4.8,64.7,59.9,22.7,114.8
GI-14e,54170.0,2301.0,-9.8,-25.5,-0.4,6.8,-0.2,15.1,24.2,9.4,42.5,34.9,13.3,64.5,-12.7,-24.5,-5.5,-0.9,-5.5,3.5,10.6,4.3,22.2,23.3,11.6,44.5,-19.1,-42.3,-8.5,-3.8,-12.1,3.3,13.0,0.3,29.5,32.4,11.4,68.0,-10.8,-50.8,3.5,8.5,-6.8,32.8,29.6,6.6,85.5,40.9,12.9,119.0
GI-15.1,54950.0,2349.0,-15.6,-50.7,3.1,10.6,-4.4,25.6,37.0,12.3,72.6,53.8,14.2,114.1,-36.3,-65.9,-8.2,-5.4,-20.6,8.9,23.6,6.4,50.3,59.8,24.8,104.4,-61.0,-78.9,-37.9,-20.2,-31.2,-8.2,19.3,4.7,37.0,80.0,49.3,109.3,-7.2,-43.0,8.7,15.4,-0.6,31.4,41.2,16.1,73.3,49.4,16.5,102.9
GI-15.2,55750.0,2391.0,-16.9,-44.8,23.5,32.2,15.1,49.9,77.1,45.0,112.2,93.7,27.1,148.2,-28.0,-49.7,-6.3,22.4,11.5,34.5,72.7,53.7,95.0,101.2,66.1,137.4,2.9,-60.9,28.3,37.2,14.3,49.4,73.9,49.1,105.3,71.6,25.7,159.0,-20.0,-52.1,21.4,18.1,-10.2,51.3,52.2,6.9,110.1,70.2,18.7,142.8
